Name,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,WAR,Team,Pos
Jack Flaherty,170.0,9.6,2.9,1.2,.296,73.6%,3.84,3.84,2.6,FA,SP
Nick Pivetta,162.0,10.2,2.8,1.3,.290,73.8%,3.93,3.86,2.5,FA,SP
Max Scherzer,137.0,9.4,2.3,1.4,.285,73.2%,3.97,3.98,2.2,FA,SP
Clayton Kershaw,125.0,8.3,2.5,1.1,.296,73.6%,3.72,3.82,2.1,FA,SP
Kyle Gibson,166.0,7.6,3.1,1.2,.301,72.0%,4.26,4.30,1.7,FA,SP
Lance Lynn,153.0,8.4,2.9,1.4,.291,71.8%,4.38,4.39,1.7,FA,SP
Charlie Morton,154.0,9.0,3.6,1.1,.298,72.3%,4.13,4.19,1.6,FA,SP
Andrew Heaney,158.0,8.5,2.8,1.3,.292,72.1%,4.25,4.31,1.6,FA,SP
Justin Verlander,139.0,7.6,2.4,1.4,.286,71.2%,4.43,4.49,1.5,FA,SP
Jose Quintana,171.0,7.2,3.3,1.1,.300,71.6%,4.34,4.41,1.4,FA,SP
Spencer Turnbull,107.0,8.0,3.1,1.1,.301,71.0%,4.22,4.17,1.1,FA,SP
Patrick Corbin,135.0,6.8,2.7,1.3,.301,71.2%,4.52,4.55,1.0,FA,SP
Michael Lorenzen,144.0,7.2,3.7,1.3,.296,71.0%,4.68,4.75,1.0,FA,SP
Colin Rea,135.0,7.1,2.6,1.4,.296,70.0%,4.71,4.65,0.9,FA,SP
Martín Pérez,135.0,6.8,3.2,1.2,.301,71.3%,4.50,4.57,0.9,FA,SP
Jakob Junis,97.0,7.5,2.4,1.3,.297,70.9%,4.41,4.37,0.9,FA,SP
Anthony DeSclafani,99.0,7.0,2.3,1.4,.297,70.7%,4.49,4.47,0.8,FA,SP
Alex Wood,111.0,7.2,3.2,1.2,.299,70.9%,4.54,4.64,0.7,FA,SP
Cal Quantrill,133.0,6.8,3.3,1.3,.297,69.8%,4.78,4.79,0.7,FA,SP
Ross Stripling,114.0,6.0,2.3,1.5,.298,70.0%,4.78,4.79,0.6,FA,SP
Chris Flexen,103.0,6.6,3.2,1.5,.293,70.5%,4.94,5.00,0.5,FA,SP
Kyle Hart,139.0,6.2,3.1,1.4,.292,70.6%,4.78,4.97,0.4,FA,SP
Noah Syndergaard,72.0,6.0,2.2,1.5,.297,67.4%,5.09,4.90,0.3,FA,SP
Tyler Alexander,80.0,6.5,2.5,1.7,.291,70.3%,4.97,5.04,0.3,FA,SP
Joey Lucchesi,64.0,5.8,3.6,1.1,.301,70.8%,4.60,4.78,0.3,FA,SP
Total,3201.0,7.7,2.9,1.3,.296,71.4%,4.40,4.44,29.5,FA,SP
Tanner Scott,72.0,11.2,4.0,0.7,.296,76.9%,3.04,3.24,1.0,FA,RP
Jeff Hoffman,68.0,10.9,3.1,1.0,.289,75.6%,3.30,3.32,1.0,FA,RP
David Robertson,65.0,11.1,3.5,0.9,.293,75.7%,3.27,3.30,0.8,FA,RP
Chris Martin,54.0,9.2,1.8,0.9,.299,74.2%,3.28,3.22,0.7,FA,RP
Joe Kelly,43.0,10.7,4.0,0.7,.302,75.6%,3.22,3.34,0.5,FA,RP
Kirby Yates,61.0,11.0,4.2,1.0,.291,75.1%,3.57,3.66,0.5,FA,RP
Kenley Jansen,60.0,10.3,3.4,1.2,.281,73.8%,3.82,3.82,0.5,FA,RP
A.J. Minter,42.0,10.0,3.1,1.0,.289,75.4%,3.44,3.56,0.5,FA,RP
Caleb Ferguson,53.0,9.7,3.7,0.9,.298,74.9%,3.47,3.65,0.4,FA,RP
Craig Kimbrel,56.0,10.7,4.0,1.1,.288,74.0%,3.79,3.82,0.4,FA,RP
Andrew Kittredge,70.0,8.4,2.6,1.1,.299,72.9%,3.84,3.85,0.4,FA,RP
Luis García,58.0,8.2,2.8,0.9,.303,72.1%,3.78,3.77,0.4,FA,RP
José Leclerc,64.0,10.2,3.9,1.1,.282,74.3%,3.83,3.96,0.4,FA,RP
Jalen Beeks,52.0,8.6,3.3,1.0,.296,73.9%,3.77,3.94,0.4,FA,RP
Carlos Estévez,64.0,9.2,3.1,1.2,.288,73.5%,3.98,4.04,0.3,FA,RP
Danny Coulombe,52.0,9.2,2.9,1.1,.294,74.5%,3.64,3.74,0.3,FA,RP
Kyle Finnegan,65.0,9.0,3.3,1.0,.298,73.3%,3.83,3.84,0.3,FA,RP
Drew Smyly,55.0,8.9,2.8,1.3,.289,74.0%,3.95,4.10,0.3,FA,RP
Paul Sewald,60.0,9.6,3.1,1.3,.283,73.5%,4.08,4.16,0.3,FA,RP
John Brebbia,49.0,9.5,3.0,1.3,.289,73.7%,3.96,3.98,0.3,FA,RP
Adam Ottavino,49.0,9.0,3.6,1.0,.298,70.9%,4.16,4.04,0.2,FA,RP
Tommy Kahnle,57.0,9.2,3.9,0.9,.299,73.8%,3.78,3.89,0.2,FA,RP
Andrew Chafin,54.0,9.8,4.0,1.0,.295,74.7%,3.79,3.91,0.2,FA,RP
Scott Barlow,62.0,9.3,3.8,1.0,.297,73.3%,3.92,3.97,0.2,FA,RP
Scott Alexander,47.0,7.3,3.0,0.8,.307,73.0%,3.74,3.89,0.2,FA,RP
Ryne Stanek,55.0,10.0,3.8,1.2,.286,74.3%,3.88,4.00,0.2,FA,RP
Jorge López,56.0,8.1,3.2,1.0,.303,72.4%,4.00,4.09,0.2,FA,RP
Luke Jackson,42.0,9.3,3.9,1.0,.300,73.4%,3.85,3.91,0.2,FA,RP
Ryan Borucki,50.0,8.8,3.3,1.0,.296,73.5%,3.79,3.95,0.2,FA,RP
Trey Wingenter,36.0,9.3,3.6,1.0,.297,73.4%,3.85,3.91,0.1,FA,RP
Kendall Graveman,56.0,8.7,3.8,1.0,.299,72.7%,4.04,4.13,0.1,FA,RP
Phil Maton,65.0,8.2,3.4,1.2,.293,71.9%,4.23,4.37,0.1,FA,RP
Héctor Neris,62.0,9.4,3.7,1.2,.290,73.3%,4.05,4.13,0.1,FA,RP
JT Chargois,51.0,8.3,3.5,1.1,.297,72.4%,4.13,4.21,0.1,FA,RP
Brooks Raley,29.0,8.8,3.5,1.1,.293,73.4%,3.95,4.11,0.1,FA,RP
José Cisnero,32.0,9.1,3.9,1.1,.294,73.3%,4.00,4.13,0.1,FA,RP
James Karinchak,39.0,10.6,4.6,1.2,.284,73.8%,4.10,4.16,0.1,FA,RP
Tim Mayza,46.0,7.3,3.1,1.0,.305,72.6%,3.99,4.09,0.1,FA,RP
Lou Trivino,40.0,8.3,3.7,1.1,.297,72.5%,4.11,4.21,0.1,FA,RP
Keynan Middleton,18.0,9.2,3.8,1.1,.294,73.2%,4.02,4.10,0.1,FA,RP
Joely Rodríguez,35.0,7.6,3.5,0.9,.303,73.0%,3.93,4.12,0.0,FA,RP
Dillon Tate,41.0,6.8,3.0,1.0,.303,71.0%,4.24,4.32,0.0,FA,RP
Sean Newcomb,35.0,8.9,4.6,1.1,.293,73.6%,4.17,4.43,0.0,FA,RP
Burch Smith,30.0,7.6,2.7,1.2,.296,71.6%,4.24,4.24,0.0,FA,RP
Jake Diekman,38.0,10.2,5.0,1.0,.293,74.8%,3.89,4.18,0.0,FA,RP
Josh Staumont,37.0,8.9,4.3,1.1,.291,72.9%,4.26,4.39,0.0,FA,RP
Jesse Chavez,40.0,8.1,3.0,1.2,.297,72.5%,4.16,4.18,0.0,FA,RP
Austin Voth,52.0,8.5,3.1,1.3,.291,73.2%,4.20,4.33,0.0,FA,RP
Matt Moore,50.0,8.6,4.0,1.3,.288,73.8%,4.24,4.51,0.0,FA,RP
Shintaro Fujinami,30.0,9.5,4.4,1.1,.290,73.3%,4.13,4.29,0.0,FA,RP
Drew Smith,12.0,9.0,3.6,1.3,.286,73.4%,4.27,4.43,0.0,FA,RP
Dylan Floro,64.0,6.9,2.9,1.1,.303,71.2%,4.27,4.24,0.0,FA,RP
Trevor Gott,24.0,8.1,3.0,1.2,.294,71.8%,4.27,4.31,0.0,FA,RP
Shelby Miller,50.0,8.7,3.3,1.2,.292,72.0%,4.28,4.30,0.0,FA,RP
Buck Farmer,52.0,8.5,3.7,1.3,.289,72.0%,4.39,4.49,0.0,FA,RP
Jay Jackson,28.0,8.5,3.0,1.3,.289,72.6%,4.22,4.28,0.0,FA,RP
Scott McGough,35.0,8.5,3.8,1.2,.295,73.1%,4.18,4.33,0.0,FA,RP
Diego Castillo,32.0,7.8,4.2,1.1,.298,71.9%,4.41,4.57,0.0,FA,RP
Trevor Richards,50.0,9.4,4.1,1.3,.288,73.6%,4.28,4.40,0.0,FA,RP
Jacob Barnes,48.0,7.7,3.1,1.2,.296,71.9%,4.35,4.40,0.0,FA,RP
Matt Barnes,33.0,7.6,3.7,1.2,.296,70.9%,4.61,4.62,0.0,FA,RP
Lucas Sims,55.0,9.5,4.5,1.3,.284,73.0%,4.41,4.59,0.0,FA,RP
Ryan Yarbrough,45.0,6.7,2.4,1.3,.291,71.4%,4.32,4.54,0.0,FA,RP
Colin Poche,55.0,8.3,3.5,1.3,.287,72.9%,4.33,4.49,-0.1,FA,RP
Tim Hill,67.0,5.3,3.0,0.8,.310,71.4%,4.13,4.34,-0.1,FA,RP
Tyler Matzek,36.0,8.8,4.2,1.2,.291,73.5%,4.24,4.44,-0.1,FA,RP
Will Smith,40.0,8.0,3.5,1.4,.289,72.2%,4.56,4.71,-0.1,FA,RP
Hunter Strickland,44.0,7.6,3.7,1.4,.288,71.1%,4.68,4.79,-0.1,FA,RP
Daniel Bard,40.0,8.5,4.8,1.1,.293,72.3%,4.47,4.67,-0.2,FA,RP
Adam Cimber,33.0,6.4,3.1,1.2,.299,70.0%,4.63,4.75,-0.2,FA,RP
Yusei Kikuchi,176.0,10.0,2.8,1.2,.295,74.7%,3.74,3.78,3.1,LAA,SP
